participant ID,stimulus,mental complexity,distraction,pressed key,correct key,correct key pressed,reaction time in ms,timestamp
2,▼,pre-attentive,False,up,down,False,421,2017-05-25 19:14:58
2,▼,pre-attentive,False,down,down,True,594,2017-05-25 19:14:59
2,▲,pre-attentive,False,up,up,True,498,2017-05-25 19:15:00
2,▲,pre-attentive,False,up,up,True,418,2017-05-25 19:15:01
2,▲,pre-attentive,False,up,up,True,353,2017-05-25 19:15:02
2,▼,pre-attentive,False,down,down,True,418,2017-05-25 19:15:03
2,▼,pre-attentive,False,down,down,True,474,2017-05-25 19:15:04
2,▲,pre-attentive,False,up,up,True,465,2017-05-25 19:15:05
2,▲,pre-attentive,False,up,up,True,458,2017-05-25 19:15:06
2,▲,pre-attentive,False,down,up,False,458,2017-05-25 19:15:07
2,▼,pre-attentive,False,down,down,True,450,2017-05-25 19:15:08
2,▼,pre-attentive,True,down,down,True,514,2017-05-25 19:15:09
2,▲,pre-attentive,True,up,up,True,594,2017-05-25 19:15:10
2,▼,pre-attentive,True,down,down,True,506,2017-05-25 19:15:11
2,▲,pre-attentive,True,up,up,True,402,2017-05-25 19:15:12
2,▲,pre-attentive,True,up,up,True,530,2017-05-25 19:15:13
2,▼,pre-attentive,True,up,down,False,466,2017-05-25 19:15:14
2,▲,pre-attentive,True,up,up,True,553,2017-05-25 19:15:15
2,▲,pre-attentive,True,up,up,True,490,2017-05-25 19:15:16
2,▲,pre-attentive,True,up,up,True,441,2017-05-25 19:15:17
2,▲,pre-attentive,True,up,up,True,425,2017-05-25 19:15:18
2,▲,pre-attentive,True,up,up,True,402,2017-05-25 19:15:18
2,U.F.O.,attentive,False,up,up,True,1410,2017-05-25 19:15:20
2,U.F.O.,attentive,False,up,up,True,474,2017-05-25 19:15:21
2,table,attentive,False,down,down,True,801,2017-05-25 19:15:23
2,butterfly,attentive,False,up,up,True,818,2017-05-25 19:15:24
2,guitar,attentive,False,down,down,True,642,2017-05-25 19:15:25
2,butterfly,attentive,False,down,up,False,633,2017-05-25 19:15:26
2,dragon,attentive,False,down,up,False,506,2017-05-25 19:15:27
2,bus,attentive,False,down,down,True,618,2017-05-25 19:15:28
2,guitar,attentive,False,down,down,True,722,2017-05-25 19:15:30
2,spaceship,attentive,False,up,up,True,738,2017-05-25 19:15:31
2,spaceship,attentive,False,down,up,False,465,2017-05-25 19:15:32
2,bird,attentive,True,down,up,False,994,2017-05-25 19:15:33
2,guitar,attentive,True,down,down,True,1018,2017-05-25 19:15:35
2,bee,attentive,True,down,up,False,514,2017-05-25 19:15:36
2,you,attentive,True,down,down,True,618,2017-05-25 19:15:37
2,bus,attentive,True,down,down,True,914,2017-05-25 19:15:38
2,superman,attentive,True,up,up,True,738,2017-05-25 19:15:40
2,car,attentive,True,down,down,True,890,2017-05-25 19:15:41
2,helicopter,attentive,True,up,up,True,721,2017-05-25 19:15:42
2,dog,attentive,True,down,down,True,758,2017-05-25 19:15:43
2,car,attentive,True,down,down,True,2530,2017-05-25 19:15:46
2,butterfly,attentive,True,up,up,True,1010,2017-05-25 19:15:48
